config	TTCTR&1end-X	TTCTR&1end-X_{L}	TTCTR&1end-X_{T}	TTCTR&1end-X_{LT}	space
t_Ψ32+RG32	4.0742	38.19596	227.45969	71.40947	81.729480843544
t_Ψ32+RRR128	4.07	38.36	293.19	91.71	75.66
t_Ψ512+RG32	11.67	284.04	1090.07	316.29	75.25
t_Ψ512+RRR128	11.67	283.64	1156.40	336.88	69.18
